Ticker,date,Risk,Sentiment,SanctionExposure,San_temp,SanctionRisk,SanctionSentiment,Total words,FirmTicker
اخابر,2018-09-30,881.8342151675485,-10846.560846560846,176.3668430335097,176.3668430335097,0.0,-529.1005291005291,1134,اخابر
خکار,2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,15,خكار
سدبیر,2018-10-13,0.0,-15789.473684210525,0.0,0.0,0.0,0.0,19,سدبير
پرداخت,2018-10-03,1456.7266495287065,-10025.706940874035,85.6898029134533,0.0,0.0,0.0,1167,پرداخت
حکشتی,2018-09-30,1295.8963282937364,-12814.97480201584,719.9424046076314,431.9654427645788,359.9712023038157,-1367.8905687544996,1389,حكشتي
وتوشه,2018-10-01,1285.0467289719625,-9579.439252336448,0.0,0.0,0.0,0.0,856,وتوشه
غصینو,2018-10-01,3072.6256983240223,-2513.966480446928,0.0,0.0,0.0,0.0,358,غصينو
لخانه,2018-09-30,0.0,-25000.0,0.0,0.0,0.0,0.0,4,لخانه
ذوب,2018-10-03,1683.8674633351438,-10048.886474741988,271.59152634437805,54.318305268875605,0.0,-108.6366105377512,1841,ذوب
ولانا,2018-10-03,0.0,0.0,0.0,0.0,0.0,0.0,7,ولانا
مرقام,2018-10-01,2702.702702702703,-12837.837837837838,0.0,0.0,0.0,0.0,148,مرقام
کرازی,2018-09-30,277.77777777777777,-14027.77777777778,0.0,0.0,0.0,0.0,720,كرازي
کاسپین,2018-10-03,1707.3170731707316,-11138.21138211382,0.0,0.0,0.0,0.0,1230,كاسپين
لابسا,2018-10-06,1224.4897959183672,-7346.938775510203,408.1632653061224,408.1632653061224,408.1632653061224,-1360.5442176870747,735,لابسا
وبملت,2018-10-02,997.187420097162,-10508.82127333163,25.568908207619536,25.568908207619536,0.0,-102.27563283047814,3911,وبملت
لخانه,2018-09-30,1086.9565217391305,-1086.9565217391305,0.0,0.0,0.0,0.0,92,لخانه
کخاک,2018-09-30,1094.0919037199124,-9737.41794310722,218.8183807439825,218.8183807439825,109.40919037199124,-984.6827133479212,914,كخاك
دبالک,2018-10-03,1501.8773466833543,-10387.984981226533,125.15644555694618,125.15644555694618,125.15644555694618,0.0,799,دبالك
وصندوق,2018-10-02,1208.9810017271157,-8981.001727115716,86.35578583765111,86.35578583765111,86.35578583765111,-259.0673575129534,1158,وصندوق
دشیری,2018-10-06,1920.90395480226,-10847.457627118643,338.98305084745766,112.99435028248588,112.99435028248588,-451.97740112994353,885,دشيري
بخاور,2018-10-01,3311.2582781456954,-7947.019867549669,662.2516556291391,662.2516556291391,662.2516556291391,-662.2516556291391,151,بخاور
نتوس,2018-10-09,0.0,-7526.8817204301085,0.0,0.0,0.0,0.0,93,نتوس
حآسا,nodate,1594.533029612756,-13439.635535307516,0.0,0.0,0.0,0.0,439,
دامین,2018-10-02,1749.271137026239,-12186.5889212828,349.8542274052478,233.2361516034985,233.2361516034985,-1049.5626822157435,1715,دامين
درازک,2018-10-01,1662.404092071611,-11508.951406649618,127.8772378516624,0.0,0.0,0.0,782,درازك
البرز,2018-10-02,1272.2646310432572,-14249.36386768448,0.0,0.0,0.0,0.0,393,البرز
دالبر,2018-10-02,1384.3648208469056,-11074.918566775244,0.0,0.0,0.0,0.0,1228,دالبر
سپاها,2018-09-30,556.5862708719852,-8905.380333951764,0.0,0.0,0.0,0.0,539,سپاها
وتوشه,2018-10-01,561.7977528089888,-11235.955056179777,0.0,0.0,0.0,0.0,178,وتوشه
کبافق,2018-10-02,715.1370679380215,-10965.435041716328,357.5685339690108,357.5685339690108,238.37902264600717,-1072.705601907032,839,كبافق
شیراز,2018-09-30,720.8650380456547,-11774.128954745696,320.3844613536244,160.1922306768122,0.0,-40.04805766920305,2497,شيراز
وسینا,2018-10-01,529.1005291005291,-15873.015873015873,0.0,0.0,0.0,0.0,189,وسينا
حسینا,2018-10-03,1467.391304347826,-16086.95652173913,326.0869565217391,163.04347826086956,0.0,-597.8260869565217,1840,حسينا
خپارس,2018-09-30,0.0,-14285.714285714284,0.0,0.0,0.0,0.0,7,خپارس
سغرب,2018-10-02,819.672131147541,-16393.44262295082,0.0,0.0,0.0,0.0,244,سغرب
خودرو,2018-10-02,575.1848808545603,-9285.127362366477,410.8463434675432,328.6770747740345,164.33853738701723,-821.6926869350863,1217,خودرو
کی بی سی,2018-09-30,4464.285714285714,-10714.285714285714,1785.7142857142856,0.0,0.0,0.0,112,كي بي سي
زنگان,2018-10-01,2298.850574712644,-8045.977011494253,0.0,0.0,0.0,0.0,348,زنگان
وتوصا,2018-10-03,1007.5566750629724,-12426.532325776658,0.0,0.0,0.0,0.0,1191,وتوصا
بپاس,2018-10-03,1532.5670498084291,-11877.394636015326,0.0,0.0,0.0,0.0,261,بپاس
غبشهر,2018-10-02,1207.2434607645876,-12756.539235412474,160.96579476861166,120.72434607645874,120.72434607645874,-643.8631790744466,2485,غبشهر
وامید,2018-09-30,606.5857885615251,-12088.38821490468,216.6377816291161,173.3102253032929,0.0,-649.9133448873483,2308,واميد
پکرمان,2018-10-01,346.02076124567475,-12110.726643598617,0.0,0.0,0.0,0.0,867,پكرمان
ثرود,2018-10-02,0.0,-10000.0,0.0,0.0,0.0,0.0,10,ثرود
وکادو,2018-09-30,747.1980074719801,-10460.77210460772,0.0,0.0,0.0,0.0,803,وكادو
کهرام,2018-10-02,0.0,-20000.0,0.0,0.0,0.0,0.0,10,كهرام
فلوله,2018-10-01,672.0430107526882,-11155.913978494624,268.81720430107526,134.40860215053763,0.0,-537.6344086021505,744,فلوله
دسبحا,2018-10-02,0.0,-25000.0,0.0,0.0,0.0,0.0,8,دسبحا
وسپه,2018-10-01,1724.1379310344828,-8333.333333333334,0.0,0.0,0.0,0.0,348,وسپه
کاما,2018-09-30,1388.888888888889,-14682.539682539682,99.2063492063492,99.2063492063492,99.2063492063492,-396.8253968253968,1008,كاما
لسرما,2018-10-03,2932.551319648094,-13196.480938416422,586.5102639296188,586.5102639296188,586.5102639296188,-2932.551319648094,341,لسرما
دماوند,2018-10-03,952.3809523809524,-10158.73015873016,0.0,0.0,0.0,0.0,315,دماوند
غسالم,2018-10-09,0.0,-33333.33333333333,0.0,0.0,0.0,0.0,6,غسالم
شکلر,2018-10-03,480.0,-10133.333333333334,53.333333333333336,0.0,0.0,0.0,1875,شكلر
شیران,2018-10-02,992.9078014184398,-13191.489361702128,709.2198581560284,709.2198581560284,283.6879432624113,-2269.503546099291,705,شيران
پترول,2018-10-02,1298.7012987012988,-5194.805194805195,0.0,0.0,0.0,0.0,77,پترول
فاما,2020-05-03,823.4217749313816,-9057.639524245196,91.49130832570906,91.49130832570906,91.49130832570906,-182.9826166514181,1093,فاما
سرچشمه,2020-04-21,2173.913043478261,-13043.478260869564,0.0,0.0,0.0,0.0,46,سرچشمه
سبزوا,2020-04-25,1176.470588235294,-7058.823529411765,0.0,0.0,0.0,0.0,85,سبزوا
سکرد,2020-04-21,0.0,-8064.516129032258,0.0,0.0,0.0,0.0,124,سكرد
کگل,2020-04-26,295.2755905511811,-11909.448818897636,196.8503937007874,196.8503937007874,0.0,-295.2755905511811,1016,كگل
ثعمرا,2020-04-28,1374.570446735395,-9965.635738831616,343.6426116838488,343.6426116838488,343.6426116838488,-1374.570446735395,291,ثعمرا
شفارس,2020-05-04,471.6981132075471,-9905.66037735849,0.0,0.0,0.0,0.0,424,شفارس
بنیرو,2020-05-02,3333.333333333333,-10000.0,0.0,0.0,0.0,0.0,90,بنيرو
شپنا,2020-05-03,0.0,-12338.858195211787,368.3241252302026,368.3241252302026,0.0,-1473.2965009208103,543,شپنا
خکمک,2020-04-25,2380.9523809523807,-14285.714285714284,0.0,0.0,0.0,0.0,42,خكمك
شپدیس,2020-04-20,1154.8556430446197,-11391.076115485565,314.96062992125985,104.98687664041996,52.493438320209975,-419.9475065616798,1905,شپديس
پردیس,2020-04-25,2083.333333333333,-14583.333333333332,0.0,0.0,0.0,0.0,48,پرديس
حکشتی,2020-04-26,663.449939686369,-13992.762364294327,723.763570566948,361.881785283474,0.0,-603.1363088057901,1658,حكشتي
حخزر,2020-04-26,0.0,-8620.689655172413,0.0,0.0,0.0,0.0,58,حخزر
غشهداب,2020-04-29,1351.3513513513517,-16216.216216216217,0.0,0.0,0.0,0.0,74,غشهداب
شگویا,2020-04-26,2285.714285714286,-10095.238095238095,190.47619047619048,0.0,0.0,0.0,525,شگويا
فملی,2020-04-28,894.901144640999,-10114.464099895942,83.24661810613944,62.434963579604585,20.81165452653486,-124.86992715920915,4805,فملي
میدکو,2020-04-25,766.2835249042146,-11603.721948549535,54.734537493158186,0.0,0.0,0.0,1827,ميدكو
هرمز,2020-04-25,758.7253414264037,-11077.389984825491,303.49013657056145,303.49013657056145,151.74506828528072,-1517.4506828528074,659,هرمز
سپ,2020-04-27,0.0,0.0,0.0,0.0,0.0,0.0,14,سپ
جم,2020-05-02,1156.5468814539447,-12598.099958694756,41.30524576621231,41.30524576621231,0.0,41.30524576621231,2421,جم
بمپنا,2020-04-28,521.1726384364821,-13159.609120521172,0.0,0.0,0.0,0.0,1535,بمپنا
تایرا,2020-04-27,600.9615384615385,-12379.807692307691,240.3846153846154,0.0,0.0,0.0,832,تايرا
پارسان,2020-04-26,906.555090655509,-9693.165969316597,0.0,0.0,0.0,0.0,1434,پارسان
ارفع,2020-05-03,1192.1793037672865,-11587.982832618023,238.4358607534573,190.74868860276584,95.37434430138292,-810.6819265617548,2097,ارفع
فولاژ,2020-04-29,1044.0835266821346,-9164.733178654293,0.0,0.0,0.0,0.0,862,فولاژ
